1022B78        	1 1/2" OPEN LEG W/BAR CTL  78"
1022B79        	1 1/2" OPEN LEG W/BAR CTL  79"
1022B80        	1 1/2" OPEN LEG W/BAR CTL  80"
1022B81        	1 1/2" OPEN LEG W/BAR CTL  81"
1022B82        	1 1/2" OPEN LEG W/BAR CTL  82"
1022B83        	1 1/2" OPEN LEG W/BAR CTL  83"
1022B84        	1 1/2" OPEN LEG W/BAR CTL  84"
1022B85        	1 1/2" OPEN LEG W/BAR CTL  85"
1022B86        	1 1/2" OPEN LEG W/BAR CTL  86"
1022B87        	1 1/2" OPEN LEG W/BAR CTL  87"
1022B88        	1 1/2" OPEN LEG W/BAR CTL  88"
1022B89        	1 1/2" OPEN LEG W/BAR CTL  89"
1022B90        	1 1/2" OPEN LEG W/BAR CTL  90"
1022B91        	1 1/2" OPEN LEG W/BAR CTL  91"
1022B92        	1 1/2" OPEN LEG W/BAR CTL  92"
1022B93        	1 1/2" OPEN LEG W/BAR CTL  93"
1022B94        	1 1/2" OPEN LEG W/BAR CTL  94"
1022B95        	1 1/2" OPEN LEG W/BAR CTL  95"
1022B96        	1 1/2" OPEN LEG W/BAR CTL  96"
1022B97        	1 1/2" OPEN LEG W/BAR CTL  97"
1022B98        	1 1/2" OPEN LEG W/BAR CTL  98"
1022B99        	1 1/2" OPEN LEG W/BAR CTL  99"
1024           	1-5/8" STDG S SLIP 24GA   100'
103.250        	GALV 10GA X 3.250" X COIL     
103.500        	GALV 10GA X 3.500" X COIL     
103.750        	GALV 10GA X 3.750" X COIL     
104.125        	GALV 10GA X 4.125" X COIL     
10AL           	1-5/8"STDG S SLIP.032 10' ALUM
10GW           	10GA GALV WELDED FITTINGS     
10LSH          	10GA L-SHAPE BRACKET W/HOLES  
10PG           	24G PAINT GRIP 1.5" STD"S" 10'
10PVS          	24GA 1.5" STD."S" CONN 10' PVS
10SS           	1-5/8"304 SS OPN LG S .018 10'
1120           	2-1/8" STDG S SLIP 20GA   100'
122            	1" STDG DRIVE 22GA        100'
12220          	20" 22GA STDG DRIVE 50 PCS/CTN
12222          	22" 22GA STDG DRIVE 50 PCS/CTN
12224          	24" 22GA STDG DRIVE 50 PCS/CTN
12226          	26" 22GA STDG DRIVE 50 PCS/CTN
12228          	28" 22GA STDG DRIVE 50 PCS/CTN
12230          	30" 22GA STDG DRIVE 50 PCS/CTN
122311         	1" STANDING DRIVE 22GA CTL 31"
12232          	32" 22GA STDG DRIVE 50 PCS/CTN
122321         	1" STANDING DRIVE 22GA CTL 32"
122331         	1" STANDING DRIVE 22GA CTL 33"
12234          	34" 22GA STDG DRIVE 50 PCS/CTN
122341         	1" STANDING DRIVE 22GA CTL 34"
122351         	1" STANDING DRIVE 22GA CTL 35"
12236          	36" 22GA STDG DRIVE 50 PCS/CTN
122361         	1" STANDING DRIVE 22GA CTL 36"
122371         	1" STANDING DRIVE 22GA CTL 37"
12238          	38" 22GA STDG DRIVE 50 PCS/CTN
122381         	1" STANDING DRIVE 22GA CTL 38"
122391         	1" STANDING DRIVE 22GA CTL 39"
12240          	40" 22GA STDG DRIVE 50 PCS/CTN
122401         	1" STANDING DRIVE 22GA CTL 40"
122411         	1" STANDING DRIVE 22GA CTL 41"
12242          	42" 22GA STDG DRIVE 50 PCS/CTN
122421         	1" STANDING DRIVE 22GA CTL 42"
122431         	1" STANDING DRIVE 22GA CTL 43"
12244          	44" 22GA STDG DRICE 50 PCS/CTN
122441         	1" STANDING DRIVE 22GA CTL 44"
122451         	1" STANDING DRICE 22GA CTL 45"
12246          	46" 22GA STDG DRIVE 50 PCS/CTN
122461         	1" STANDING DRIVE 22GA CTL 46"
122471         	1" STANDING DRIVE 22GA CTL 47"
12248          	48" 22GA STDG DRIVE 50 PCS/CTN
122481         	1" STANDING DRIVE 22GA CTL 48"
122491         	1" STANDING DRIVE 22GA CTL 49"
122501         	1" STANDING DRIVE 22GA CTL 50"
122511         	1" STANDING DRIVE 22GA CTL 51"
122521         	1" STANDING DRIVE 22GA CTL 52"
122531         	1" STANDING DRIVE 22GA CTL 53"
12254          	54" 22GA STDG DRIVE 50 PCS/CTN
122541         	1" STANDING DRIVE 22GA CTL 54"
122551         	1" STANDING DRIVE 22GA CTL 55"
122561         	1" STANDING DRIVE 22GA CTL 56"
122571         	1" STANDING DRIVE 22GA CTL 57"
122581         	1" STANDING DRIVE 22GA CTL 58"
122591         	1" STANDING DRIVE 22GA CTL 59"
1226           	1/2" STDG S SLIP 26GA     100'
12260          	60" 22GA STDG DRIVE 50 PCS/CTN
122601         	1" STANDING DRIVE 22GA CTL 60"
122614         	1/2" STDG "S" 26GA 14" 100/CTN
122616         	1/2" STDG "S" 26GA 16" 100/CTN
122618         	1/2" STDG "S" 26GA 18" 100/CTN
122620         	1/2" STDG "S" 26GA 20" 100/CTN
122621         	1/2" STDG "S" 26GA 21" 100/CTN
122622         	1/2" STDG "S" 26GA 22" 100/CTN
122624         	1/2" STDG "S" 26GA 24" 100/CTN
122625         	1/2" STDG "S" 26GA 25" 100/CTN
122626         	1/2" STDG "S" 26GA 26" 100/CTN
12265          	1/2" S SLIP 26GA 5'PCS     50'
124            	1" STDG DRIVE 24GA        100'
12418          	18" 24GA STDG DRIVE 50 PCS/CTN
12420          	20" 24GA STDG DRIVE 50 PCS/CTN
124201         	1" STANDING DRIVE 24GA CTL 20"
124211         	1" STANDING DRIVE 24GA CTL 21"
12422          	22" 24GA STDG DRIVE 50 PCS/CTN
124221         	1" STANDING DRIVE 24GA CTL 22"
124231         	1" STANDING DRIVE 24GA CTL 23"
12424          	24" 24GA STDG DRIVE 50 PCS/CTN
124241         	1" STANDING DRIVE 24GA CTL 24"
124251         	1" STANDING DRIVE 24GA CTL 25"
12426          	26" 24GA STDG DRIVE 50 PCS/CTN
124261         	1" STANDING DRIVE 24GA CTL 26"
124271         	1" STANDING DRIVE 24GA CTL 27"
12428          	28" 24GA STDG DRIVE 50 PCS/CTN
124281         	1" STANDING DRIVE 24GA CTL 28"
124291         	1" STANDING DRIVE 24GA CTL 29"
12430          	30" 24GA STDG DRIVE 50 PCS/CTN
124301         	1" STANDING DRIVE 24GA CTL 30"
12432          	32" 24GA STDG DRIVE 50 PCS/CTN
12434          	34" 24GA STDG DRIVE 50 PCS/CTN
12436          	36" 24GA STDG DRIVE 50 PCS/CTN
124361         	1" STANDING DRIVE 24GA CTL 36"
12438          	38" 24GA STDG DRIVE 50 PCS/CTN
12440          	40" 24GA STDG DRIVE 50 PCS/CTN
