2660.000	GALV 26GA X 60.000" X COIL	
268.000	GALV 26GA X 8.000" X COIL	
268.500	GALV 26GA X 8.500" X COIL	
269.000	GALV 26GA X 9.000" X COIL	
269.500	GALV 26GA X 9.500" X COIL	
282.125	GALV 28GA X 2.125" X COIL	
283.625	GALV 28GA X 3.625" X COIL	
2841.000	GALV 28GA X 41.000" X COIL	
2AL	2" TURNING VANE .024  10' ALUM	
2ALA	2" TURNING VANE INSTALLED ALUM	
2ALCTL	2" VANE CUT FOR FITTINGS ALUM	
2IN1	2 IN 1 HAND RIVETER	
2PB	2" PAINT BRUSH	
2SOA	2" STANDOFF ALUM	
2SOS	2" STANDOFF STLS	
2SS	2" 304 SS TURNING VANE.018 10'	
2SSCTL	2" VANE CUT FOR FITTINGS STLS	
316205.394	S.S.-316 20GA X 5.394" X COIL	
3162248.000	S.S.-316 22GA X 48.000" X COIL	
316225.394	S.S.-316 22GA X 5.394" X COIL	
3162448.000	S.S.-316 24GA X 48.000" X COIL	
316245.394	S.S.-316 24GA X 5.394" X COIL	
322	2" EZ RAIL 22GA           100'	
322A	2"VANE RAIL INSTALLED	
322CTL	2" 22GA RAIL CUT FOR FITTINGS	
38SW	3/8" SQUARE WASHERS	
38TRC	3/8" THREADED ROD COUPLING	
3AL	2" E-Z RAIL .032      10' ALUM	
3ALA	2" VANE RAIL INSTALLED ALUM	
3ALCTL	2" RAIL CUT FOR FITTINGS ALUM	
3SS	2" 304 SS E-Z RAIL .018    10'	
3SSCTL	2" RAIL CUT FOR FITTINGS STLS	
4000	4" SINGLEWALL VANE 22GA   100'	
4009	4" SINGLEWALL VANE CTL  8 7/8"	
411648.000	PVS 16GA X 48.000" X COIL	
41165.625	PVS 16GA X 5.625" X COIL	
411848.000	PVS 18GA X 48.000" X COIL	
41185.500	PVS 18GA X 5.500" X COIL	
411860.000	PVS 18GA X 60.000" X COIL	
41205.394	PVS 20GA X 5.394" X COIL	
412060.000	PVS 20GA X 60.000" X COIL	
412248.000	PVS 22GA X 48.000" X COIL	
41225.394	PVS 22GA X 5.394" X COIL	
